read	distance	multiplicity	edge_index	node_name
NP_300m_SV.NarG-5_1_152_+	0.2455865157817651	1	282	
NP_300m_SV.NarG-12_1_73_+	0.23354551578176508	1	282	
NP_300m_SV.NarG-15_1_181_+	0.2202915157817651	1	282	
NP_300m_SV.NarG-16_1_228_+	0.2871165157817651	1	282	
NP_300m_SV.NarG-24_1_251_+	0.27142051578176507	1	282	
NP_300m_SV.NarG-28_1_185_+	0.18001751578176511	1	282	
NP_300m_SV.NarG-32_1_183_+	0.13216451578176508	1	282	
NP_300m_SV.NarG-34_1_188_+	0.3158675157817651	1	282	
NP_300m_SV.NarG-36_1_195_+	0.23008751578176512	1	282	
NP_300m_SV.NarG-52_1_250_+	0.20698451578176508	1	282	
NP_300m_SV.NarG-62_1_146_+	0.3471655157817651	1	282	
NP_300m_SV.NarG-71_1_192_+	0.2780245157817651	1	282	
NP_300m_SV.NarG-92_1_250_+	0.2967555157817651	1	282	
NP_300m_SV.NarG-98_1_98_+	0.22007651578176507	1	282	
NP_300m_SV.NarG-108_1_217_+	0.2583545157817651	1	282	
NP_300m_SV.NarG-111_1_214_+	0.1958945157817651	1	282	
NP_300m_SV.NarG-113_1_247_+	0.2255655157817651	1	282	
NP_300m_SV.NarG-122_1_203_+	0.23643151578176508	1	282	
NP_300m_SV.NarG-124_1_140_+	0.3499765157817651	1	282	
NP_300m_SV.NarG-140_1_124_+	0.23249551578176508	1	282	
NP_300m_SV.NarG-146_1_153_+	0.19486451578176509	1	282	
NP_300m_SV.NarG-151_1_194_+	0.1711495157817651	1	282	
NP_300m_SV.NarG-152_1_169_+	0.23815951578176509	1	282	
NP_300m_SV.NarG-155_1_249_+	0.3030765157817651	1	282	
NP_300m_SV.NarG-179_1_114_+	0.1454265157817651	1	282	
NP_300m_SV.NarG-180_1_251_+	0.2371635157817651	1	282	
NP_300m_SV.NarG-183_1_190_+	0.1336515157817651	1	282	
NP_300m_SV.NarG-184_1_246_+	0.1989185157817651	1	282	
NP_300m_SV.NarG-189_1_181_+	0.1360695157817651	1	282	
NP_300m_SV.NarG-194_1_216_+	0.2584395157817651	1	282	
NP_300m_SV.NarG-195_1_167_+	0.3194935157817651	1	282	
NP_300m_SV.NarG-198_1_217_+	0.2215025157817651	1	282	
NP_300m_SV.NarG-205_1_190_+	0.1757595157817651	1	282	
NP_300m_SV.NarG-207_1_102_+	0.1712245157817651	1	282	
NP_300m_SV.NarG-210_1_219_+	0.49249451578176506	1	282	
NP_300m_SV.NarG-220_1_251_+	0.2016125157817651	1	282	
NP_300m_SV.NarG-233_1_243_+	0.3133175157817651	1	282	
NP_300m_SV.NarG-236_1_214_+	0.32627051578176514	1	282	
NP_300m_SV.NarG-248_105_203_+	0.20971751578176512	1	282	
NP_300m_SV.NarG-261_1_149_+	0.1393025157817651	1	282	
NP_300m_SV.NarG-262_1_124_+	0.3088945157817651	1	282	
NP_300m_SV.NarG-268_1_150_+	0.22583551578176508	1	282	
NP_300m_SV.NarG-270_1_250_+	0.14926651578176509	1	282	
NP_300m_SV.NarG-273_1_144_+	0.2983445157817651	1	282	
NP_300m_SV.NarG-274_1_218_+	0.23533451578176512	1	282	
NP_300m_SV.NarG-287_1_117_+	0.1688395157817651	1	282	
